"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","analysis_group"
"GO:0035578","azurophil granule lumen",45,0.599896190722898,2.03945952102115,3.68783882500216e-05,0.0161158556652595,0.00608088489176951,570,"tags=33%, list=11%, signal=30%","P12724/P20160/P41218/P08246/P17213/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/P30041/P07355/P59665/P02792","large_artery_atherosclerosis"
"GO:0034774","secretory granule lumen",167,0.40757059581861,1.7363842495469,3.7749282501799e-05,0.0164586871707844,0.00608088489176951,1091,"tags=31%, list=20%, signal=26%","P12724/P22894/P20160/P80511/Q6UX06/P41218/P08246/P17213/P01308/P02788/P36222/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/P37108/P25815/O75594/P01275/P14210/P63172/P09341/P05121/P09769/P09668/P30041/P07355/P59665/P02792/P04275/P31949/Q92520/P15848/P05089/P15692/P80188/O15078/P09486/P07339/P32320/P04080/P02775/P03973/Q9H7Z7/P09110/P02763/Q01432/Q9UBU3/Q9HD89/Q9P000","large_artery_atherosclerosis"
"GO:0005766","primary lysosome",70,0.506575793174043,1.8902813641463,6.15450700741008e-05,0.0267105604121598,0.00608088489176951,773,"tags=30%, list=14%, signal=26%","P12724/P20160/P41218/P08246/P17213/P31997/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/Q7Z6P3/P30041/P07355/P59665/P02792/P01833/Q10589/P15848/P05089","large_artery_atherosclerosis"
"GO:0042582","azurophil granule",70,0.506575793174043,1.8902813641463,6.15450700741008e-05,0.0267105604121598,0.00608088489176951,773,"tags=30%, list=14%, signal=26%","P12724/P20160/P41218/P08246/P17213/P31997/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/Q7Z6P3/P30041/P07355/P59665/P02792/P01833/Q10589/P15848/P05089","large_artery_atherosclerosis"
"GO:0031983","vesicle lumen",172,0.39672859575621,1.70126188491224,7.62116180366891e-05,0.0329996306098864,0.00608088489176951,1091,"tags=30%, list=20%, signal=25%","P12724/P22894/P20160/P80511/Q6UX06/P41218/P08246/P17213/P01308/P02788/P36222/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/P37108/P25815/O75594/P01275/P14210/P63172/P09341/P05121/P09769/P09668/P30041/P07355/P59665/P02792/P04275/P31949/Q92520/P15848/P05089/P15692/P80188/O15078/P09486/P07339/P32320/P04080/P02775/P03973/Q9H7Z7/P09110/P02763/Q01432/Q9UBU3/Q9HD89/Q9P000","large_artery_atherosclerosis"
"GO:0060205","cytoplasmic vesicle lumen",171,0.398589870194994,1.7079925726545,9.3428040775865e-05,0.0403609136151737,0.00621214516737769,1091,"tags=30%, list=20%, signal=25%","P12724/P22894/P20160/P80511/Q6UX06/P41218/P08246/P17213/P01308/P02788/P36222/P05164/Q6XQN6/Q9Y2J8/P24158/P07478/P01024/P37108/P25815/O75594/P01275/P14210/P63172/P09341/P05121/P09769/P09668/P30041/P07355/P59665/P02792/P04275/P31949/Q92520/P15848/P05089/P15692/P80188/O15078/P09486/P07339/P32320/P04080/P02775/P03973/Q9H7Z7/P09110/P02763/Q01432/Q9UBU3/Q9HD89/Q9P000","large_artery_atherosclerosis"
