"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","analysis_group"
"GO:0140513","nuclear protein-containing complex",292,0.453474658921003,1.53016342181629,9.49760001196767e-07,0.000415045120522987,0.000375905010999983,1684,"tags=47%, list=31%, signal=34%","Q9NWV8/P13994/P12270/Q15393/O43524/Q86WB0/P25490/Q9NR30/P51692/P61978/Q9BTT0/Q14011/Q9UJX5/Q9NYV4/O95926/P18887/Q86V81/P08579/O14893/Q8IXJ6/Q9NVM6/Q16621/Q9BZI7/Q9Y5U2/Q9Y6D9/Q8WUZ0/Q9BRP8/O75351/Q8IZD2/Q9UEE9/O60566/Q9NYB0/O15381/O15294/Q9NW64/O43290/P17931/P63165/P54105/P55769/P43487/P0DMV8/Q8IXM2/Q9NQ29/Q9BTK6/O95232/Q9BW85/Q9UMR2/P17676/Q9Y265/Q14241/O75940/O75528/Q01201/Q93074/P48382/O14867/P19174/P68400/Q15788/Q15291/Q96NB3/Q9BUQ8/Q8IV48/P98179/Q9BRR8/Q9P2E3/Q96PN7/Q9P013/Q96CJ1/O14497/O43561/Q15696/Q9BX63/O60934/P61218/P41208/Q8NHZ8/Q9BUH6/P55735/Q9UK53/Q9UMS4/Q9BVC3/Q8WYA6/P35249/P19838/P30260/Q9H4D5/O15234/P35579/P15927/Q9H7E2/Q15054/P54727/Q9UKL0/P49715/Q96EB6/P35226/Q9BRT9/Q9NPA8/Q9NQT5/O75956/Q9HD42/Q9H9Q4/Q9HC62/Q9P021/P16383/Q15427/O43889/Q9C005/P52630/Q15370/Q15797/O94992/Q15018/Q9UM13/Q15796/O15391/Q8IV76/Q92917/Q03111/Q9UKV3/Q9NYF8/Q96I25/P05412/Q9UKF6/Q92784/Q9P2I0/Q9UBN7/Q9NX24/Q9UQL6/Q8NDF8/Q99708/Q7Z5L2/Q9UKX7/P51532","cardioembolism"
"GO:0005681","spliceosomal complex",48,0.626490939137641,1.82743390317092,1.62201766592216e-05,0.00707199702342061,0.00320988759150911,1364,"tags=65%, list=25%, signal=49%","P13994/Q15393/P61978/Q14011/O95926/Q86V81/P08579/O14893/Q9NVM6/Q9Y5U2/Q9NW64/O43290/P17931/P54105/P55769/Q9NQ29/O95232/Q9BW85/O75940/Q96NB3/Q9BUQ8/P98179/Q9BRR8/Q9P013/Q15696/Q9UMS4/Q8WYA6/O15234/Q9P021/P16383/Q15427","cardioembolism"
"GO:0016604","nuclear body",252,0.441435018146465,1.48196389576076,3.06195156672219e-05,0.0133194893152415,0.00363652954296633,1268,"tags=35%, list=23%, signal=28%","Q9NWV8/Q04725/P78317/P54577/Q6PD74/Q495M9/Q9HAN9/Q9NYV4/P06730/Q86YW5/O95926/Q96IZ7/Q99497/Q86V81/P08579/O14893/Q6UUV9/Q9UIH9/Q16621/O14503/Q99986/Q8NDZ2/Q8IZD2/P60484/Q9NYB0/Q14258/Q9H0P0/P35611/Q8N9N2/O43290/Q9H008/P63165/P46013/Q969K3/Q8NCN4/P0DMV8/O96017/O95232/P27695/Q14005/Q9Y4C8/O60239/Q12888/P41214/Q7Z417/O75940/Q6K0P9/Q14457/Q03014/P68400/Q14149/O75695/P16150/O60238/Q9C0B1/Q96NB3/Q13137/P09874/Q14676/Q8N9N5/Q9P013/Q96CJ1/Q15527/Q15633/P00519/O15357/O60934/Q13043/Q6NT76/O14776/Q14151/Q9UMS4/O15234/Q01543/P35579/P46100/P15927/Q9NPE2/Q9BXP5/O15527/P43490/Q8N5J2/Q86UA6/P12757/Q96EB6/P35226/P78362/Q9HAU4/P35548","cardioembolism"
"GO:1990904","ribonucleoprotein complex",140,0.494800652426721,1.60588424964041,3.67521602746597e-05,0.0159504375592023,0.00363652954296633,1489,"tags=49%, list=27%, signal=37%","P13994/Q15393/P61978/P50914/O95786/Q14011/P06730/O95926/Q9BUJ2/O15116/Q86V81/P08579/O14893/Q9NVM6/Q02880/Q9Y5U2/P05455/O15381/Q9NW64/O43290/P17931/P54105/P55769/Q6NYC1/P0DMV8/Q9NQ29/O95232/Q9BW85/Q9Y265/P56182/P47813/Q15366/P04406/O75940/P06748/O75821/P11308/Q96NB3/Q9BUQ8/Q8IV48/P98179/Q9BRR8/Q13151/Q8N9T8/P19474/Q13895/Q9P013/O15213/Q15633/P37108/Q15696/Q9BVS4/Q92979/Q9UMS4/Q8WYA6/O15234/P26378/Q9BXP5/Q71RC2/Q96GA3/O75569/Q9P021/P16383/Q15427/Q99700/Q96N16/O94992/Q8N6W0/Q92917","cardioembolism"
"GO:0010494","cytoplasmic stress granule",36,0.628356425540258,1.77102131471727,7.5822932203859e-05,0.0328313296442709,0.00600198368603178,1611,"tags=69%, list=30%, signal=49%","Q04637/P61978/Q14011/P06730/Q6PKG0/P05455/Q6Y7W6/Q14258/Q9UMR2/Q7Z417/Q659C4/Q6ZRY4/Q7Z739/Q9P2E3/Q14444/P19474/Q5TC82/P17213/O15234/Q71RC2/Q99700/O00425/O95793/Q13148/O75534","cardioembolism"
