"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","analysis_group"
"R-HSA-6798695","Neutrophil degranulation",207,0.454314278111016,1.70121249352763,6.48039560575719e-06,0.00545649310004756,0.00305669218285641,1731,"tags=44%, list=33%, signal=31%","6037/566/4332/1991/10562/4048/4353/6283/6727/11240/1116/5707/4973/93100/671/4317/4311/6286/4057/401258/847/5657/383/2919/23197/1088/272/170482/11333/684/1075/718/9588/84766/3958/411/80184/2204/8778/56954/6282/101/441864/5284/55313/57126/1476/4860/3163/929/5702/4318/2821/28988/29099/3903/1084/2990/8673/1512/3303/11026/160364/4282/2171/6993/5683/10788/2268/1509/1778/1992/11314/3608/3683/79792/8804/634/5004/80142/4790/9342/5660/2896/353/2720/27180/5787/56729/10970/5329","all_groups_holistic"
"R-HSA-1640170","Cell Cycle",178,0.461687738711889,1.71057898507237,8.05508342222911e-06,0.00677432515809468,0.00305669218285641,1015,"tags=31%, list=19%, signal=26%","23063/29086/286826/2237/4869/55055/29893/7443/7175/4001/5111/5707/8379/1063/701/9738/10714/50511/64151/7341/5525/4683/8481/54801/23421/54386/9232/1104/3930/11064/8636/23194/51400/8607/80184/1453/440145/79075/63943/4751/1028/29945/728642/23243/25946/6118/11200/22995/22974/84131/10540/5702/7158/9656/11116/55651","all_groups_holistic"
"R-HSA-196807","Nicotinate metabolism",12,0.829796816462006,1.97206283728741,4.89437336042952e-05,0.041112736227608,0.0123819059398936,443,"tags=58%, list=8%, signal=54%","64802/65220/93100/4907/143/84875/79668","all_groups_holistic"
