"Assay","logFC","AveExpr","t","P.Value","adj.P.Val","B","neg_log10_padj","neg_log10_p","sig","UniProt","delta_NPX","n_samples","analysis_group"
"NCF2",0.748081257329728,-0.0943927975992362,0.711973068957712,0.491127423738969,0.996260879005333,-5.93491044736307,0.00162692314545418,0.308805814909356,"Not significant","P19878",0.71746772144522,12,"small_vessel_occlusion"
"LAYN",0.187309415423938,-0.0205873138135454,0.711805268642403,0.491227358544296,0.996260879005333,-5.86924847956151,0.00162692314545418,0.308717453483452,"Not significant","Q6UX15",0.203173060685263,12,"small_vessel_occlusion"
"DRAXIN",0.200921788321571,0.264165828625361,0.711638095273982,0.491326932339641,0.996260879005333,-5.89093810526285,0.00162692314545418,0.308629429136279,"Not significant","Q8NBI3",0.236951996598925,12,"small_vessel_occlusion"
"WNT7A",-0.580752699659992,-0.252668284500639,-0.711079514364743,0.491659730521349,0.996260879005333,-5.92973041538246,0.00162692314545418,0.30833536122084,"Not significant","O00755",-0.657286434727056,12,"small_vessel_occlusion"
"RENBP",-0.624907472677766,0.393015436207255,-0.710668926089497,0.4919044437297,0.996260879005333,-5.93583622755315,0.00162692314545418,0.308119254125827,"Not significant","P51606",-0.612317491642066,12,"small_vessel_occlusion"
"TUT4",0.272002808122586,0.16426174590985,0.710636609943904,0.491923707517612,0.996260879005333,-5.90019559174255,0.00162692314545418,0.308102246771888,"Not significant","Q5TAX3",0.176449461494173,12,"small_vessel_occlusion"
"NUP50",0.427364216719585,-0.596719270572066,0.710563207649104,0.491967464642333,0.996260879005333,-5.917833792485,0.00162692314545418,0.308063617544671,"Not significant","Q9UKX7",0.241199493195329,12,"small_vessel_occlusion"
"CD4",-0.110761258925538,0.11994393200924,-0.710516473641511,0.491995325308027,0.996260879005333,-5.82670385512765,0.00162692314545418,0.308039023660634,"Not significant","P01730",-0.279500497984035,12,"small_vessel_occlusion"
"BRWD3",-0.185233781813641,-0.102673346312561,-0.710494698622655,0.492008306902068,0.996260879005333,-5.91841207618954,0.00162692314545418,0.308027564689399,"Not significant","Q6RI45",-0.139236962256421,12,"small_vessel_occlusion"
"BRK1",0.182416781486162,-0.0109674221215149,0.710487518230406,0.492012587676173,0.996260879005333,-5.91263528356178,0.00162692314545418,0.308023786077415,"Not significant","Q8WUW1",0.454280263025846,12,"small_vessel_occlusion"
"DBP",0.296049786249701,0.450062725692987,0.709830375380074,0.492404456537478,0.996260879005333,-5.89828626981164,0.00162692314545418,0.307678025113433,"Not significant","Q10586",0.0375859034912927,12,"small_vessel_occlusion"
"SERPIND1",0.118483321079333,0.0563206913260122,0.709789134723698,0.492429055613646,0.996260879005333,-5.84851206278272,0.00162692314545418,0.30765632958234,"Not significant","P05546",0.128144165181688,12,"small_vessel_occlusion"
"NBPF11",0.497418130767506,-0.960237926299063,0.709745428663746,0.492455126064177,0.996260879005333,-5.83482834645701,0.00162692314545418,0.307633337533083,"Not significant","Q86T75",1.10524672010381,12,"small_vessel_occlusion"
"ART5",-0.546009584358652,0.0622866209596395,-0.709376969576645,0.492674943619605,0.996260879005333,-5.91696413781299,0.00162692314545418,0.307439524440031,"Not significant","Q96L15",-0.635192782325404,12,"small_vessel_occlusion"
"MEF2C",-0.305178043586508,-0.179447013884783,-0.709258647776558,0.492745545466328,0.996260879005333,-5.93683561326264,0.00162692314545418,0.307377293153314,"Not significant","Q06413",-0.299379312566348,12,"small_vessel_occlusion"
"VASN",-0.158162801357105,0.0895335731232384,-0.709187038615364,0.49278827718699,0.996260879005333,-5.93688631050486,0.00162692314545418,0.307339632039974,"Not significant","Q6EMK4",-0.160767690228697,12,"small_vessel_occlusion"
"CCL23",-0.126995871613659,-0.222763658772844,-0.708952849819686,0.492928041729643,0.996260879005333,-5.84462623672508,0.00162692314545418,0.307216474963477,"Not significant","P55773",-0.000170602849019402,12,"small_vessel_occlusion"
"MOG",0.291342548032608,0.0018684109672904,0.70842762827727,0.493241583435689,0.996260879005333,-5.92257348674577,0.00162692314545418,0.30694031671667,"Not significant","Q16653",0.221952094456979,12,"small_vessel_occlusion"
"ZNF175",1.11996569382406,1.08022114386161,0.707775579204921,0.49363100671824,0.996260879005333,-5.93788463265051,0.00162692314545418,0.306597568537822,"Not significant","Q9Y473",1.14080552288464,12,"small_vessel_occlusion"
"CD79B",0.273566227544519,0.123244681706031,0.707737222919592,0.493653920082392,0.996260879005333,-5.91281503189839,0.00162692314545418,0.306577409924347,"Not significant","P40259",0.126059715662684,12,"small_vessel_occlusion"
"BTC",-0.433202478247705,0.392240216955543,-0.707053151086638,0.49406268139402,0.996260879005333,-5.92019445168887,0.00162692314545418,0.30621794893741,"Not significant","P35070",-0.188609377614089,12,"small_vessel_occlusion"
"NCOR1P1",0.234261571159417,0.0289804314573606,0.706860415121207,0.494177886378612,0.996260879005333,-5.909656301804,0.00162692314545418,0.306116692439844,"Not significant","Q9H4R4",0.398076919998441,12,"small_vessel_occlusion"
